X	Y
1271,869995	175,504997
1308,179993	171,9049985
1327,234986	176,830002
1346,544983	188,695
1355,204956	196,6300045
1332,919983	200,2750015
1306,460022	214,0350035
1255,739991	220,114998
1175,27002	215,7549975
1192,255005	215,259995
1248,979981	200,199997
1252,255005	182,475006
1285,63501	185,1650005
1339,065003	176,75
1387,184998	191,199997
1403,190003	214,959999
1354,094971	221,154999
1336,015015	218,395004
1370,824951	231,300003
1392,949951	241,2050015
1423,605042	251,2950055
1426,530029	244,1449965
1414,190003	243,1399995
1421,264954	251,704994
1462,149963	260,7899935
1506,39502	266,599991
1541,934998	264,8799895
1583,375	260,3950045
1614,14502	261,550003
1618,994995	273,3249965
1647,755005	290,1100005
1661,195008	292,029999
1658,75	298,685013
1719,475037	339,125
1782,255005	379,625
1827,455017	398,8950045
1814,224976	378,744995
1821,065003	360,5400085
1865,01001	347,5549925
1878,954956	321,1100005
1903,979981	308,3399965
1942,049988	318,6849975
1946,480042	319,4249875
1966,585022	326,3650055
1988,179993	331,2100065
1994,744995	313,75
2042,88501	322,4400025
2062,339966	324,2350005
2026,944946	333,554993
2050,585022	365,104996
2086,559937	376,475006
2076,569947	396,9400025
2097,384888	426,525009
2085,875	432,244995
2085,420044	487,750015
2038,335022	525,1700135
1945,059998	505,515015
1999,505066	568,450012
2080,584961	645,9649965
2063,434937	674,8200075
1989,219971	621,644989
1934,584961	565,335022
1998,414978	574,9649965
2060,960083	625,0400085
2082,059937	693,3549805
2096,400024	718,2600095
2136,470093	738,0650025
2172,049927	764,514984
2169,800049	804,105011
2145,23999	812,9100035
2163,744996	774,7850035
2219,5	760,534973
2265,220093	790,6999815
2324,614991	837,125
2371,424927	869,794983
2373,27002	906,494995
2400,150025	961,2099915
2419,529907	983,2950135
2450,844971	980,2850035
2474,375	988,3549805
2496,890015	972,774994
2548,229981	1034,640015
2584,025025	1141,075012
2659,355103	1170,76001
2753,77002	1311,445008
2765,140015	1478,724976
2678,045044	1480,469971
2640,75	1491,875
2674,114991	1596,419983
2718,535034	1668,415039
2760,619995	1730,069946
2861,344971	1898,354981
2905,469971	2014,75
2819,015015	1810
2738,875	1656,850037
2648,675049	1635,714966
2590,53003	1591,964966
2743,405029	1639,354981
2816,309937	1717,940003
2897,229981	1863,315003
2852,195069	1854,079956
2846,64502	1826,820008
2975,894898	1894,880005
2953,390015	1824,005005
2942,875	1752,955017
3010,625	1761,330017
3095,849976	1794,40503
3187,315064	1826,119995
3235,094971	1941,859986
3094,939942	1947,174988
2779,435059	1928,104981
2705,255005	2203,484986
2956,700074	2389,585083
3069,535034	2603,410034
3188,52002	2961,334961
3394,285035	3315,734986
3435,219971	3319,155029
3327,915039	3122,074951
3458,914917	3114,890015
3700,970093	3222,714966
